Label,Site,Genus,Treatment,Genotype,Color_type,Color,Name,Area1,Mean_frag,StdDev1,Mode1,Min1,Max1,MinThr1,MaxThr1,Label_match
DL_Poc_T1_DL06.jpg_HSB,DL,Poc,T1,DL06,HSB,G,DL_Poc_T1_DL06.jpg_HSB_08,141686,125.678,49.901,163,0,255,0,255,DL_Poc_T1_DL06
DL_Poc_T1_DL06.jpg_HSB,DL,Poc,T1,DL06,HSB,B,DL_Poc_T1_DL06.jpg_HSB_09,141686,60.732,20.159,44,5,114,0,255,DL_Poc_T1_DL06
DL_Poc_T1_DL07.jpg_RGB,DL,Poc,T1,DL07,RGB,R,DL_Poc_T1_DL07.jpg_RGB_01,146355,86.048,13.395,84,26,133,0,255,DL_Poc_T1_DL07
DL_Poc_T1_DL07.jpg_RGB,DL,Poc,T1,DL07,RGB,G,DL_Poc_T1_DL07.jpg_RGB_02,146355,65.214,16.472,61,8,118,0,255,DL_Poc_T1_DL07
DL_Poc_T1_DL07.jpg_RGB,DL,Poc,T1,DL07,RGB,B,DL_Poc_T1_DL07.jpg_RGB_03,146355,50.425,22.042,41,0,118,0,255,DL_Poc_T1_DL07
DL_Poc_T1_DL07.jpg_LAB,DL,Poc,T1,DL07,LAB,R,DL_Poc_T1_DL07.jpg_LAB_04,146355,29.436,6.675,28.465,3.552,47.996,-3.40E+38,3.40E+38,DL_Poc_T1_DL07
DL_Poc_T1_DL07.jpg_LAB,DL,Poc,T1,DL07,LAB,G,DL_Poc_T1_DL07.jpg_LAB_05,146355,7.048,3.514,6.499,-10.678,15.892,-3.40E+38,3.40E+38,DL_Poc_T1_DL07
DL_Poc_T1_DL07.jpg_LAB,DL,Poc,T1,DL07,LAB,B,DL_Poc_T1_DL07.jpg_LAB_06,146355,12.729,5.591,13.703,-6.347,22.089,-3.40E+38,3.40E+38,DL_Poc_T1_DL07
DL_Poc_T1_DL07.jpg_HSB,DL,Poc,T1,DL07,HSB,R,DL_Poc_T1_DL07.jpg_HSB_07,146355,21.74,26.198,21,0,253,0,255,DL_Poc_T1_DL07
DL_Poc_T1_DL07.jpg_HSB,DL,Poc,T1,DL07,HSB,G,DL_Poc_T1_DL07.jpg_HSB_08,146355,111.98,42.408,124,0,255,0,255,DL_Poc_T1_DL07
DL_Poc_T1_DL07.jpg_HSB,DL,Poc,T1,DL07,HSB,B,DL_Poc_T1_DL07.jpg_HSB_09,146355,86.462,13.406,84,26,133,0,255,DL_Poc_T1_DL07
DL_Poc_T1_DL08.jpg_RGB,DL,Poc,T1,DL08,RGB,R,DL_Poc_T1_DL08.jpg_RGB_01,155879,52.459,12.681,48,9,93,0,255,DL_Poc_T1_DL08
DL_Poc_T1_DL08.jpg_RGB,DL,Poc,T1,DL08,RGB,G,DL_Poc_T1_DL08.jpg_RGB_02,155879,39.382,14.939,33,0,87,0,255,DL_Poc_T1_DL08
DL_Poc_T1_DL08.jpg_RGB,DL,Poc,T1,DL08,RGB,B,DL_Poc_T1_DL08.jpg_RGB_03,155879,27.781,17.626,16,0,90,0,255,DL_Poc_T1_DL08
DL_Poc_T1_DL08.jpg_LAB,DL,Poc,T1,DL08,LAB,R,DL_Poc_T1_DL08.jpg_LAB_04,155879,16.973,6.536,13.372,0.643,34.411,-3.40E+38,3.40E+38,DL_Poc_T1_DL08
DL_Poc_T1_DL08.jpg_LAB,DL,Poc,T1,DL08,LAB,G,DL_Poc_T1_DL08.jpg_LAB_05,155879,4.397,2.645,5.494,-13.272,14.418,-3.40E+38,3.40E+38,DL_Poc_T1_DL08
DL_Poc_T1_DL08.jpg_LAB,DL,Poc,T1,DL08,LAB,B,DL_Poc_T1_DL08.jpg_LAB_06,155879,9.73,4.597,13.008,-10.253,17.508,-3.40E+38,3.40E+38,DL_Poc_T1_DL08
DL_Poc_T1_DL08.jpg_HSB,DL,Poc,T1,DL08,HSB,R,DL_Poc_T1_DL08.jpg_HSB_07,155879,24.508,26.376,20,0,253,0,255,DL_Poc_T1_DL08
DL_Poc_T1_DL08.jpg_HSB,DL,Poc,T1,DL08,HSB,G,DL_Poc_T1_DL08.jpg_HSB_08,155879,132.41,51.669,171,0,255,0,255,DL_Poc_T1_DL08
DL_Poc_T1_DL08.jpg_HSB,DL,Poc,T1,DL08,HSB,B,DL_Poc_T1_DL08.jpg_HSB_09,155879,52.957,12.739,48,11,93,0,255,DL_Poc_T1_DL08
DL_Poc_T1_DL09.jpg_RGB,DL,Poc,T1,DL09,RGB,R,DL_Poc_T1_DL09.jpg_RGB_01,186607,60.533,21.376,46,0,117,0,255,DL_Poc_T1_DL09
DL_Poc_T1_DL09.jpg_RGB,DL,Poc,T1,DL09,RGB,G,DL_Poc_T1_DL09.jpg_RGB_02,186607,44.867,19.443,30,0,98,0,255,DL_Poc_T1_DL09
DL_Poc_T1_DL09.jpg_RGB,DL,Poc,T1,DL09,RGB,B,DL_Poc_T1_DL09.jpg_RGB_03,186607,32.859,20.616,19,0,98,0,255,DL_Poc_T1_DL09
DL_Poc_T1_DL09.jpg_LAB,DL,Poc,T1,DL09,LAB,R,DL_Poc_T1_DL09.jpg_LAB_04,186607,19.685,8.978,10.22,0.136,41.439,-3.40E+38,3.40E+38,DL_Poc_T1_DL09
DL_Poc_T1_DL09.jpg_LAB,DL,Poc,T1,DL09,LAB,G,DL_Poc_T1_DL09.jpg_LAB_05,186607,5.46,2.588,5.294,-6.788,12.727,-3.40E+38,3.40E+38,DL_Poc_T1_DL09
DL_Poc_T1_DL09.jpg_LAB,DL,Poc,T1,DL09,LAB,B,DL_Poc_T1_DL09.jpg_LAB_06,186607,10.183,5.563,12.825,-9.214,21.871,-3.40E+38,3.40E+38,DL_Poc_T1_DL09
DL_Poc_T1_DL09.jpg_HSB,DL,Poc,T1,DL09,HSB,R,DL_Poc_T1_DL09.jpg_HSB_07,186607,29.437,43.485,18,0,252,0,255,DL_Poc_T1_DL09
